row,instance,replicas,memory,cpu
53,10.0.1.102:9100,60,87.33539630685476,100
56,10.0.1.103:9100,70,83.93099472436126,99.90000000000236
57,10.0.1.102:9100,80,90.79497120487822,100
58,10.0.1.103:9100,90,93.34621701239963,100
